preprocessing_class,preprocessing_params,model_class,model_params,r2_mean,r2_fold1,r2_fold2,r2_fold3,r2_fold4,r2_fold5,neg_mean_absolute_error_mean,neg_mean_absolute_error_fold1,neg_mean_absolute_error_fold2,neg_mean_absolute_error_fold3,neg_mean_absolute_error_fold4,neg_mean_absolute_error_fold5,neg_root_mean_squared_error_mean,neg_root_mean_squared_error_fold1,neg_root_mean_squared_error_fold2,neg_root_mean_squared_error_fold3,neg_root_mean_squared_error_fold4,neg_root_mean_squared_error_fold5,fit_time_mean,score_time_mean,fit_time_fold1,fit_time_fold2,fit_time_fold3,fit_time_fold4,fit_time_fold5,score_time_fold1,score_time_fold2,score_time_fold3,score_time_fold4,score_time_fold5
Pipeline,"memory=None, steps=[('scaler', StandardScaler())], transform_input=None, verbose=False",RandomForestRegressor,"bootstrap=True, ccp_alpha=0.0, criterion=squared_error, max_depth=None, max_features=1.0, max_leaf_nodes=None, max_samples=None, min_impurity_decrease=0.0, min_samples_leaf=1, min_samples_split=2, min_weight_fraction_leaf=0.0, monotonic_cst=None, n_estimators=100, n_jobs=None, oob_score=False, random_state=42, verbose=0, warm_start=False",0.4830705836406211,0.2683784137335377,0.5049403137245242,0.5205761078300246,0.4776310205089157,0.6438270624061038,-0.46962855524701,-0.6020605762227876,-0.487544396697767,-0.4836994005989993,-0.4367980663077241,-0.3380403364077717,-0.592251151963749,-0.6967645421187629,-0.6049886716741179,-0.6203198833168874,-0.5835652823090709,-0.4556173803999053,0.5645681381225586,0.0102158546447753,0.6138660907745361,0.5559344291687012,0.5505974292755127,0.5575344562530518,0.5449082851409912,0.0193331241607666,0.007570743560791,0.0075955390930175,0.0070667266845703,0.0095131397247314
Pipeline,"memory=None, steps=[('scaler', StandardScaler())], transform_input=None, verbose=False",LinearRegression,"copy_X=True, fit_intercept=True, n_jobs=None, positive=False, tol=1e-06",-5146876.883011355,-310317.506397998,-23121097.1222135,-493199.9490900952,-1756.3063166546744,-1808013.5310385304,-359.8068063655717,-175.2429115715702,-814.2314811789465,-317.16263059769,-14.716978149784198,-477.6800303298675,-1255.5646866295149,-453.7813307550273,-4134.497083184382,-629.1697256705426,-33.84733598533142,-1026.5279575522893,0.0491403579711914,0.0040975093841552,0.0635774135589599,0.042736530303955,0.0454111099243164,0.048107624053955,0.0458691120147705,0.0040903091430664,0.0046586990356445,0.003596544265747,0.0040147304534912,0.0041272640228271
Pipeline,"memory=None, steps=[('scaler', StandardScaler())], transform_input=None, verbose=False",Ridge,"alpha=1.0, copy_X=True, fit_intercept=True, max_iter=None, positive=False, random_state=None, solver=auto, tol=0.0001",-24464.17230159193,-0.585025833539282,-122320.07582479242,0.3115085819669303,-0.3778292964022562,-0.134336619273105,-11.526503783596146,-0.678114608913622,-55.137017213075765,-0.5521605427384376,-0.6724388271329728,-0.5927877261199349,-60.85089783481624,-1.02555972854198,-300.7247049971084,-0.7433701719956387,-0.9477601949733664,-0.8130940814618324,0.0092056274414062,0.0036778926849365,0.0173895359039306,0.0079960823059082,0.0076799392700195,0.0065236091613769,0.0064389705657958,0.0040111541748046,0.0045380592346191,0.0035603046417236,0.0032305717468261,0.0030493736267089
Pipeline,"memory=None, steps=[('scaler', StandardScaler())], transform_input=None, verbose=False",Lasso,"alpha=1.0, copy_X=True, fit_intercept=True, max_iter=1000, positive=False, precompute=False, random_state=None, selection=cyclic, tol=0.0001, warm_start=False",-0.0285437661437242,-0.0710832135464532,-0.0001134024072417,-0.0027149625273683,-0.0175660276477542,-0.0512412245898035,-0.6307383823732579,-0.6289277305320737,-0.6877646090241842,-0.7164060064565873,-0.6314170827546398,-0.4891764830988043,-0.8394559067883003,-0.8430520576354911,-0.859890369686427,-0.8971077593914674,-0.8144830617485019,-0.7827462854796144,0.0091391086578369,0.0050994396209716,0.014993667602539,0.0091476440429687,0.0050084590911865,0.0060000419616699,0.0105457305908203,0.0065300464630126,0.0045926570892333,0.0055856704711914,0.0050272941589355,0.0037615299224853
Pipeline,"memory=None, steps=[('scaler', StandardScaler())], transform_input=None, verbose=False",KNeighborsRegressor,"algorithm=auto, leaf_size=30, metric=minkowski, metric_params=None, n_jobs=None, n_neighbors=5, p=2, weights=uniform",0.4094411843337136,0.1940528963811819,0.4112645471885418,0.4454054365826498,0.4365589166331277,0.5599241248830664,-0.5142031459761637,-0.6087292960338253,-0.5211020612473405,-0.5230126985196992,-0.5043809596755615,-0.4137907144043916,-0.6341500342606411,-0.7313008120724181,-0.659748719665286,-0.6671809989375711,-0.6060731054906773,-0.5064465351372529,0.0058634281158447,0.4450197219848633,0.0080056190490722,0.0055227279663085,0.0052628517150878,0.0055208206176757,0.0050051212310791,2.189940452575684,0.0090458393096923,0.009315013885498,0.0085554122924804,0.0082418918609619
Pipeline,"memory=None, steps=[('scaler', StandardScaler())], transform_input=None, verbose=False",XGBRegressor,"objective=reg:squarederror, base_score=None, booster=None, callbacks=None, colsample_bylevel=None, colsample_bynode=None, colsample_bytree=None, device=None, early_stopping_rounds=None, enable_categorical=False, eval_metric=None, feature_types=None, feature_weights=None, gamma=None, grow_policy=None, importance_type=None, interaction_constraints=None, learning_rate=None, max_bin=None, max_cat_threshold=None, max_cat_to_onehot=None, max_delta_step=None, max_depth=None, max_leaves=None, min_child_weight=None, missing=nan, monotone_constraints=None, multi_strategy=None, n_estimators=None, n_jobs=None, num_parallel_tree=None, random_state=None, reg_alpha=None, reg_lambda=None, sampling_method=None, scale_pos_weight=None, subsample=None, tree_method=None, validate_parameters=None, verbosity=None",0.4249279320324006,0.1098512064436381,0.5258631578161523,0.4414453669537523,0.4294503203748215,0.6180296085736385,-0.4763660497449642,-0.598384680807544,-0.4348346922140516,-0.5134177318719211,-0.4902468507837723,-0.344946293047532,-0.6223783779674792,-0.7685534740639851,-0.5920662603237357,-0.6695587571373183,-0.6098843515030234,-0.4718290468093341,0.1698960304260253,0.0077536106109619,0.1647481918334961,0.2024705410003662,0.1314797401428222,0.1547098159790039,0.1960718631744384,0.0075275897979736,0.0065395832061767,0.0070035457611083,0.0084302425384521,0.0092670917510986
Pipeline,"memory=None, steps=[('scaler', StandardScaler())], transform_input=None, verbose=False",LGBMRegressor,"boosting_type=gbdt, class_weight=None, colsample_bytree=1.0, importance_type=split, learning_rate=0.1, max_depth=-1, min_child_samples=20, min_child_weight=0.001, min_split_gain=0.0, n_estimators=100, n_jobs=None, num_leaves=31, objective=None, random_state=None, reg_alpha=0.0, reg_lambda=0.0, subsample=1.0, subsample_for_bin=200000, subsample_freq=0",0.4200247193252445,0.2506753050970508,0.4860211262726029,0.4210193276287896,0.3202682858546217,0.6221395517731576,-0.4992605682914874,-0.5933933993215208,-0.4870386998069442,-0.5368105209286023,-0.5117157423132247,-0.3673444790871451,-0.6276491711315852,-0.7051439904598595,-0.6164404029806235,-0.6816915307684414,-0.6656861541532398,-0.4692837772957619,0.03673996925354,0.0071419715881347,0.0651183128356933,0.0295453071594238,0.0310685634613037,0.0303733348846435,0.0275943279266357,0.0112903118133544,0.0063514709472656,0.0060992240905761,0.0055139064788818,0.0064549446105957
Pipeline,"memory=None, steps=[('scaler', StandardScaler())], transform_input=None, verbose=False",CatBoostRegressor,loss_function=RMSE,0.4922095189504448,0.3418644362707196,0.517202443849204,0.509026812564889,0.4644194330711712,0.62853446899624,-0.4656421350129094,-0.5580364752597989,-0.4740556083585066,-0.4964026002820337,-0.4550787157006371,-0.3446372754635708,-0.588447458980094,-0.6608463048567641,-0.597449212519518,-0.6277471548505875,-0.5908988744176725,-0.4652957482559275,5.757293844223023,0.0075347900390625,5.881627082824707,5.6949238777160645,5.560255289077759,5.776926279067993,5.872736692428589,0.0101130008697509,0.0066699981689453,0.0070855617523193,0.0059731006622314,0.0078322887420654
Pipeline,"memory=None, steps=[('scaler', StandardScaler())], transform_input=None, verbose=False",CatBoostRegressor,"loss_function=RMSE, verbose=0",0.4922095189504448,0.3418644362707196,0.517202443849204,0.509026812564889,0.4644194330711712,0.62853446899624,-0.4656421350129094,-0.5580364752597989,-0.4740556083585066,-0.4964026002820337,-0.4550787157006371,-0.3446372754635708,-0.588447458980094,-0.6608463048567641,-0.597449212519518,-0.6277471548505875,-0.5908988744176725,-0.4652957482559275,5.612960433959961,0.0090170383453369,4.783597946166992,4.637133836746216,5.805769443511963,6.323550224304199,6.514750719070435,0.0070817470550537,0.0183219909667968,0.0071685314178466,0.0080537796020507,0.0044591426849365
Pipeline,"memory=None, steps=[('scaler', StandardScaler())], transform_input=None, verbose=False",CatBoostRegressor,"loss_function=RMSE, verbose=0, random_state=42",0.5312089947144688,0.3042144372427912,0.6210589856399686,0.5738489294530391,0.491305429773283,0.6656171914632623,-0.4353445361895253,-0.5308270016627802,-0.4142518888389094,-0.4425162272824745,-0.4618272203559625,-0.3273003428074997,-0.5621933066683915,-0.679485968319655,-0.5293028935253656,-0.5848407928201047,-0.5758764362521878,-0.4414604424246445,5.488338232040405,0.019091510772705,5.694738626480103,5.299442529678345,5.805894613265991,5.464089632034302,5.177525758743286,0.0224602222442626,0.0168755054473876,0.0180315971374511,0.0185616016387939,0.0195286273956298
Pipeline,"memory=None, steps=[('scaler', StandardScaler())], transform_input=None, verbose=False",CatBoostRegressor,"loss_function=RMSE, verbose=0, random_state=42, depth=8, iterations=500, l2_leaf_reg=3, learning_rate=0.1",0.5413574609977745,0.3536122074956688,0.6563892878125024,0.5860554397277651,0.4863595789677791,0.6243707909851572,-0.4278080982519968,-0.511858683243766,-0.3957896022479922,-0.4352691142175137,-0.4666507355054681,-0.329472356045244,-0.5563831357209011,-0.6549216679171964,-0.504024687250052,-0.5764039591479079,-0.5786691821901832,-0.4678961820991665,4.323150300979615,0.0157050132751464,4.479905843734741,4.316230297088623,5.12837290763855,4.275609731674194,3.415632724761963,0.0119457244873046,0.018021821975708,0.0124385356903076,0.0181968212127685,0.0179221630096435
Pipeline,"memory=None, steps=[('scaler', StandardScaler())], transform_input=None, verbose=False",CatBoostRegressor,"loss_function=RMSE, verbose=0, random_state=42, depth=6, iterations=500, l2_leaf_reg=1, learning_rate=0.05",0.5064578342020848,0.4048659996431404,0.5393250342579625,0.46801255449021206,0.49500431944127,0.6250812631778389,-0.45185649880987916,-0.5315183227120326,-0.44361034760207274,-0.5053680476282317,-0.4441693810081367,-0.33461639509892227,-0.5813389120372197,-0.628420244695655,-0.5836006508966914,-0.6534412652432153,-0.5737789205304011,-0.4674534788201354,2.352127122879028,0.0061000347137451175,2.4220008850097656,2.2830729484558105,2.3487703800201416,2.4505362510681152,2.2562551498413086,0.0011997222900390625,0.006909847259521484,0.007956504821777344,0.008693933486938477,0.005740165710449219
